"","conc","site"
"1",11.5670376912836,1
"2",23.7381119149164,1
"3",17.3067024376365,1
"4",-3.50800926698522,1
"5",9.9148503914404,1
"6",13.2098186283643,1
"7",-7.78148408557374,1
"8",19.0950383507389,1
"9",0.805956638395132,1
"10",8.42285169111933,1
"11",21.0199738945752,1
"12",25.4159151903534,1
"13",6.2178535369147,1
"14",5.01430150290394,1
"15",4.58703828247733,1
"16",15.4192213428587,1
"17",-4.57507049448394,1
"18",11.1696043978659,1
"19",8.59279411850825,1
"20",10.4434569536533,1
"21",2.06093428816176,1
"22",12.9760889872161,2
"23",-2.92464638703373,2
"24",14.399727151066,2
"25",1.12891200081314,2
"26",5.66326396224021,2
"27",11.0765269563514,2
"28",9.32442236487267,2
"29",-5.82452629022957,2
"30",12.2345597319095,2
"31",8.90886254101706,2
"32",3.11437191101029,2
"33",1.0251870935226,2
"34",11.4108935913609,2
"35",0.67583022426312,2
"36",-2.13798370771051,2
"37",-13.8248560098914,2
"38",2.43520117048776,2
"39",3.26738932478214,2
"40",4.37145660441507,2
"41",3.95546685133231,2
"42",8.95605043936985,2
"43",3.05250427337663,2
"44",23.090992148166,2
"45",4.9381825184849,2
"46",6.94258732375028,2
"47",-3.08117887586995,2
"48",8.55054384079797,2
"49",26.7731354838872,2
